举报者是2014年在韩国上映的一部电影，导演是任順禮 | Whistle Blower (Hangul: 제보자; RR: Jeboja) is a 2014 South Korean film directed by Yim Soon-rye
李因为对人类胚胎干细胞的研究而知名，被视为韩国的民族英雄 | Lee had gained widespread acclaim and press attention following his groundbreaking experiments cloning human embryonic stem cells, and is considered a national hero whose research may mean the cure to several illnesses
举报者 (电影) | Whistle Blower (film)
Microsoft Windows、OS X和Linux平台运行的游戏版本在2014年11月发布，Android和iOS版本在2015年7月14日发布 |  Android and iOS versions were released in July 14, 2015
于PlayStation 4和Xbox One运行的续作这是我的战争：小家伙（This War of Mine: The Little Ones）被宣布将于2016年1月29日发布  |  A PlayStation 4 and Xbox One release titled This War of Mine: The Little Ones has been announced for a January 29, 2016 release
游戏的主要目标是控制角色通过各种材料和工具在战争中存活下去 | The main goal of the game is to survive the war with the tools and materials the player can gather with the characters they control
大多数玩家控制的角色没有军事背景以及特殊的生存经验，需要玩家不断的干预以维持生命 |  Most of the characters under the player's control have no military background or any kind of survival experience, and will require constant intervention by the player in order to stay alive
玩家的责任是维持角色在健康、饥饿、心情等方面的正常直至随机天数后的战争结束 |  It is the player's responsibility to maintain their characters' health, hunger and mood levels until the declaration of a ceasefire, which occurs after a randomized duration
白天敌方狙击手将阻止幸存者外出探索，从而让玩家有时间使用收集到的材料制造工具，交易，升级住房，做饭和治疗角色 | During the daytime, hostile snipers will prevent the survivors from venturing outside, thereby offering the player time to craft tools from gathered materials, trade, upgrade the shelter, cook food and heal the survivors
晚上玩家则有机会走出去，并收集邻近地区用于维持他们生存的宝贵资源 |  At night, the player is given the opportunity to venture out and scavenge nearby areas for valuable resources for their everyday survival
探索期间玩家控制的角色可能遇见其他NPC幸存者，由玩家选择给予食物和药品来帮助或者杀人越货 |  During their excursions, the player-controlled survivors can encounter other NPC survivors of the war, who they can choose to help with gifts of food or medicine, or rob and kill
开发过程 | Development
游戏的灵感来自波斯尼亚平民在从二战至今最长的围困战——1992至96年萨拉热窝围城战役中的经历 | The game was inspired by the poor living conditions and wartime atrocities that Bosnian civilians endured during the 1992–96 Siege of Sarajevo, the longest city siege since World War II
[7] 游戏的盗版镜像于2014年11月出现在网络上，开发商对此的应答是开放了一些序列号并鼓励下载者与朋友分享，希望在经济条件许可的情况下购买正版 | [7] In November 2014, pirated copies of the game were made available online
[7] 游戏的盗版镜像于2014年11月出现在网络上，开发商对此的应答是开放了一些序列号并鼓励下载者与朋友分享，希望在经济条件许可的情况下购买正版 |  The developer's response was to post a number of working serial numbers in comments, encouraging downloaders to share them with friends, and buy the game if their financial situation allowed
[10]据报道，游戏在开始销售的两天内就收回了所有的开发成本 | [10] The game reportedly made back its development costs in its first two days on sale
本列表列出的是有關運動的解剖學術語，包含器官、關節、四肢，和身體其他特殊構造的動作 | Motion includes movement of organs, joints, limbs, and specific sections of the body
在解剖學中，這些術語用於描述相對於標準解剖姿勢的動作 | Motion includes movement of organs, joints, limbs, and specific sections of the body
在解剖學中，這些術語用於描述相對於標準解剖姿勢的動作 |  The terminology used describes this motion according to its direction relative to the anatomical position of the joints
在解剖學中，這些術語用於描述相對於標準解剖姿勢的動作 |  Anatomists use a unified set of terms to describe most of the movements, although other, more specialized terms are necessary for describing the uniqueness of the movements such as those of the hands, feet, and eyes
解剖學家通常使用較為統一的術語來描述大部分的動作，例如手臂和腿都能進行「屈曲」與「伸展」的動作 |  Anatomists use a unified set of terms to describe most of the movements, although other, more specialized terms are necessary for describing the uniqueness of the movements such as those of the hands, feet, and eyes
